DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;P7481;AREA;MES;DPTO;fex_c_2011
5272752;1;1;1;90;2; ;1;29;2; ;2; ;2; ;2; ;1;10;2; ;2; ;2; ; ;68;11;68;497
5272752;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;497
5272752;1;3;1;90;2; ;1;9;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;497
5272752;1;4;1;90;2; ;1;22;2; ;1;1;2; ;2; ;2; ;2; ;2; ;1;3; ;68;11;68;497
5272753;1;1;1;90;2; ;1;28;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;600
5272753;1;2;1;90;2; ;1;28;2; ;1;19;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;600
5272753;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;600
5272754;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;445
5272754;1;2;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;445
5272755;1;1;1;90;2; ;1;18;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;481
5272755;1;2;1;90;2; ;1;28;2; ;2; ;1;56;2; ;2; ;2; ;2; ;2; ; ;68;11;68;481
5272755;1;3;1;90;2; ;1;14;2; ;2; ;1;21;2; ;2; ;2; ;2; ;2; ; ;68;11;68;481
5272755;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;481
5272755;1;5;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;481
5272756;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;428
5272756;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;428
5272757;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;445
5272757;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;445
5272758;1;1;1;90;2; ;1;7;2; ;2; ;1;14;2; ;2; ;2; ;2; ;2; ; ;68;11;68;493
5272758;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;493
5272758;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;493
5272758;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;493
5272763;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;515
5272763;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;515
5272769;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;1;2;2; ;2; ; ;54;11;54;296
5272769;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;296
5272775;1;1;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;177
5272775;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;177
5272776;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;242
5272780;1;1;1;90;2; ;1;30;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;294
5272780;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;294
5272783;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;634
5272783;1;2;1;90;2; ;1;30;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ; ;68;11;68;634
5272783;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;634
5272783;1;4;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;634
5272784;1;1;1;90;2; ;1;10;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;558
5272784;1;3;1;90;2; ;1;38;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;558
5272793;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1269
5272795;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1152
5272795;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1152
5272795;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1152
5272795;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1152
5272796;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;332
5272796;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;332
5272797;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;54;11;54;367
5272807;1;1;1;90;2; ;1;20;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1000
5272807;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1000
5272809;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1060
5272814;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;17;11;17;227
