idnoremp;Seccion19;Division;periodo;intio;pottcag;gppgpa;ocgtot;CONINTER;OTROSG;PEROCU;PEREMU;PMISION;SULPERM;SULSAL;SULTEMP;SULMISION;SULAPRENDIZ;PRESPERM;PRESTEMP;PRESMISION;PRESTA;REMU;PROBRU;VALAGRE;TOTG;idaio;imesetot;inoio;insertot;potpsfr;pompsfr;pohpsfr;potperm;pomperm;pohperm;pottcde;pomtcde;pohtcde;pottmoe;pomtmoe;pohtmoe;pomtcag;pohtcag;potpau;pompau;pohpau;pomtot;pohtot;pottot;pompsfr1;pohpsfr2;pompsfr3;pohpsfr4;pompsfr5;pohpsfr6;pomperm1;pohperm2;pomperm3;pohperm4;pomperm5;pohperm6;pomtcde1;pohtcde2;pomtcde3;pohtcde4;pomtcde5;pohtcde6;pomtcag1;pohtcag2;pomtcag3;pohtcag4;pomtcag5;pohtcag6;pomtdhc;pohtdhc;pomtmad;pohtmad;pompau1;pohpau2;pomtot1;pohtot2;pomtot3;pohtot4;pomtot5;pohtot6;ththca;thtmas;gppsi;gpper;gpppsp;gpppst;gsppt;gppcpo;gppano;gppavo;gpppta;gppgpn;gpptpot;ocgrps;gmesetot;gsptot;ocgrc;ocgid;occree;ocgoi;ocgpc;ocgog;ocgtg;ocgamc;ocgtgno;gouts;ocgsv;ocgee;ocgar;ocgca;ocgse;ocgsp;ocgco;ocgfa;ocgpp;ocgnr;ocggv;ocgct;ocggr;ocgup;ocgcl;ocgusi;ocgspe;ocgsgn;gppsied1;gppsied2;gppsied3;gppered1;gppered2;gppered3;gpppsp1;gpppsp2;gpppsp3;gpppsted1;gpppsted2;gpppsted3;gppcpoed1;gppcpoed2;gppcpoed3;gppanoed1;gppanoed2;gppanoed3;gppavoed1;gppavoed2;gppavoed3;gppdocen;gppgpaed1;gppmoni;gppgpned1;gppgpned2;gppgpned3;gpptpoted1;gpptpoted2;gpptpoted3;opcomex
10001;I1;55;2019;2690535;0;29546;1108203;1054626;68900;42;42;0;312021;561576;220009;0;29546;79220;48355;0;245194;806770;2690535;1635909;875670;1991;0;1388775;1301760;0;0;0;20;12;8;18;11;7;0;0;0;0;0;4;3;1;26;16;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;312021;79220;0;0;89193;28426;0;0;68900;875670;303829;0;11442;0;31545;0;14564;0;0;0;0;0;0;22429;25851;27275;11972;8783;57579;43862;19431;3431;108894;0;39077;0;13732;8483;6531;244691;104802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10002;I1;55;2019;5198956;0;19692;2774045;2643172;8910;75;74;0;1074846;1094538;0;0;19692;222270;0;0;395544;1490082;5198956;2555784;1498992;2005;0;3031478;2167478;1;0;1;72;39;33;0;0;0;0;0;0;0;0;2;0;2;39;36;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1074846;222270;0;0;134199;39075;0;0;8910;1498992;747748;0;44140;0;3906;0;102267;6000;0;123000;0;0;0;123562;14555;316998;52560;13126;170977;43281;2277;31583;260225;8852;153752;26455;23224;4145;15137;425162;61113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10003;I1;55;2019;14153289;117;39744;10230734;9907702;165935;75;75;0;1504042;1543786;0;0;39744;366426;0;0;655575;2199361;14153289;4245587;2365296;2015;0;7454978;6698311;0;0;0;71;25;46;0;0;0;0;0;0;45;72;4;2;2;72;120;192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1504042;366426;0;0;212023;77126;0;2293925;165935;2365296;2713826;0;144088;14287;168172;0;102069;4896;0;375569;0;0;0;35178;407605;1112499;3107;76248;201072;54123;32650;55317;391939;9884;144073;152080;38074;10207;15487;1410618;263741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10004;I1;55;2019;10684133;0;20703;7825096;7664319;0;39;39;0;458429;479132;0;0;20703;100988;0;0;216185;695317;10684133;3019814;695317;2019;0;2076438;8607695;0;0;0;37;22;15;0;0;0;0;0;0;0;0;2;2;0;24;15;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;458429;100988;0;0;76860;38337;0;0;0;695317;458081;0;54234;0;88735;0;0;0;0;4583083;0;0;19875;34527;0;24567;0;4527;345980;76389;0;123098;458923;0;876923;0;55637;98349;65298;456870;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
10005;I2;56;2019;26319862;177;33787;23404650;22715080;388456;50;50;0;1440206;1473993;0;0;33787;606968;0;0;1020273;2494266;26319862;3604782;2882722;1957;0;19802264;6517598;0;0;0;46;26;20;0;0;0;0;0;0;52;125;4;3;1;81;146;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67330;1393075;586769;0;0;317634;128461;0;4069848;388456;2915512;2783003;0;582444;7503;146999;0;358035;30271;0;6193450;0;0;0;2319873;0;0;50819;9325;394582;187553;1854665;0;2863041;7185;0;0;30634;41767;100525;1251610;121518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10006;I2;56;2019;84361203;0;83862;51640157;47883160;189264;557;557;0;173010;9305299;9048427;0;83862;39791;2026520;0;3627688;12932987;82039267;34156107;13122251;1989;2432936;0;81928267;0;0;0;3;3;0;545;545;0;0;0;0;0;0;9;9;0;557;0;557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;173010;39791;0;0;1187004;374373;0;0;189264;13122251;39117454;2321936;427277;0;635047;0;660254;55533;0;1080154;0;0;0;375436;965528;160888;54445;308483;142498;191965;2553826;18366;741246;345129;0;35855;162978;279152;210366;520924;275417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
10007;I2;56;2019;1289475;0;14689;537600;506704;25092;31;31;0;186864;451070;249517;0;14689;41005;56456;0;186938;638008;1289475;782771;663100;1996;0;0;1289475;0;0;0;5;5;0;24;12;12;0;0;0;0;0;2;2;0;19;12;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;186864;41005;0;0;68931;20546;0;0;25092;663100;155541;0;14937;3032;15507;0;12023;0;0;6014;0;0;0;75435;0;0;1265;2656;18603;4988;0;4189;2616;0;0;0;938;1905;0;118638;99313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10008;I2;56;2019;15431445;56;36526;11032273;10733478;154610;94;94;0;1557395;1593921;0;0;36526;362723;0;0;669363;2263284;15431445;4697967;2417894;1998;0;0;15431445;0;0;0;90;83;7;0;0;0;0;0;0;56;0;4;4;0;143;7;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1557395;362723;0;0;225615;81025;0;1206337;154610;2417894;6688902;0;105408;0;177288;0;93903;0;0;283003;0;0;0;93109;141;810123;139159;31782;100809;62363;210374;9224;141376;32874;0;3903;48570;0;85395;564514;143716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10012;H1;52;2019;350353;0;0;212327;200909;1178;3;3;0;50760;50760;0;0;0;12182;0;0;24245;75005;350353;149444;76183;1993;0;0;350353;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;50760;12182;0;0;9151;2650;262;0;1178;76183;140378;0;18656;0;2985;0;8010;0;0;664;0;0;0;0;2584;8327;0;312;354;4014;708;0;1941;432;0;204;232;20461;2060;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
10013;H1;52;2019;24063044;6;30088;17705608;17431804;192447;36;36;0;696712;726800;0;0;30088;177812;0;0;410657;1137457;24063044;6631240;1329904;2003;0;0;24063044;0;0;0;33;6;27;0;0;0;0;0;0;0;6;3;1;2;7;35;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;696712;177812;0;0;118777;28973;85095;166581;192447;1329904;16165138;0;853984;0;162351;0;44219;64748;0;3905;0;0;0;0;80489;0;0;95408;0;11422;0;0;51901;0;0;0;409;0;2314;2739;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
